gitCategory,Double Compression Score
ki,0.017737781127593683
ki,0.015094922330101193
ki,0.014058892168438865
ki,0.024022463097951665
ki,0.046755578681793905
ki,0.024285661506979757
ki,0.014716784758348516
ki,0.025447319900640065
ki,0.07278276593115683
ki,0.015064515600790813
ki,0.02149095309054238
ki,0.015104143083487186
ki,0.025605186691752102
nonKi,0.020211309027242032
nonKi,0.01997458990580429
nonKi,0.0348402610366013
nonKi,0.045231637906510885
nonKi,0.08172809408805581
nonKi,0.05271284975532057
nonKi,0.060190239449632116
nonKi,0.0035141240191853434
nonKi,0.03994087097674511
nonKi,0.019687462104990488
nonKi,0.055757615651838344
nonKi,0.010382637738236613
nonKi,0.044425530249306754
nonKi,0.019348133212563744
nonKi,0.012694740962731514
nonKi,0.0020987481757347055
nonKi,0.03729333758517187
